n,u_n,v_n,w_n,abs_s_n,is_prime
55,2,1.6755160819145564e-9,0,2,0
56,4,1.3613568165555772e-9,0,4,0
57,2,2.303834612632515e-9,0,2,0
58,2,3.246312408709453e-9,0,2,0
59,1,6.1784655520599265e-9,0,1,1
60,4,1.2566370614359174e-9,0,4,0
61,1,6.387905062299246e-9,0,1,1
62,2,3.4557519189487726e-9,0,2,0
63,3,1.3613568165555772e-9,0,3,0
64,6,1.2566370614359174e-9,0,6,0
65,2,1.884955592153876e-9,0,2,0
66,3,1.6755160819145564e-9,0,3,0
67,1,7.016223593017205e-9,0,1,1
68,3,2.1991148575128553e-9,0,3,0
69,2,2.7227136331111543e-9,0,2,0
70,3,1.4660765716752368e-9,0,3,0
71,1,7.435102613495844e-9,0,1,1
72,5,1.2566370614359174e-9,0,5,0
73,1,7.644542123735163e-9,0,1,1
74,2,4.084070449666731e-9,0,2,0
75,3,1.3613568165555772e-9,0,3,0
76,3,2.408554367752175e-9,0,3,0
77,2,1.884955592153876e-9,0,2,0
78,3,1.884955592153876e-9,0,3,0
79,1,8.272860654453122e-9,0,1,1
80,5,1.3613568165555772e-9,0,5,0
81,4,1.2566370614359174e-9,0,4,0
82,2,4.50294947014537e-9,0,2,0
83,1,8.691739674931761e-9,0,1,1
84,4,1.466076571675237e-9,0,4,0
85,2,2.303834612632515e-9,0,2,0
86,2,4.71238898038469e-9,0,2,0
87,2,3.351032163829113e-9,0,2,0
88,4,1.7802358370342162e-9,0,4,0
89,1,9.32005820564972e-9,0,1,1
90,4,1.3613568165555772e-9,0,4,0
